GEOID,DischargeVolume,DischargeCount
250056403001,23.701647,45
250056403003,488.25,48
250056404003,8.140058,46
250056405004,2.3247410000000004,24
250056410001,3.661115,12
250056420002,79.752566,82
250056420003,24.578183,77
250056421001,117.211843,106
250056504001,5.77926,6
250056507001,212.0453,67
250056512001,11.58294,31
250056513001,14.98761,61
250056519001,37.82499,47
250056524002,63.86284,83
250056526002,25.70497,40
250056527002,56.48996,28
250056527003,9.94508,20
250056528001,32.36738,28
250056528002,14.471210000000001,40
250056542001,10.229665,37
250092057005,8.605317,22
250092069003,27.920689,28
250092213002,0.89,1
250092214003,0.054,3
250092215002,0.051,1
250092501001,23.52,7
250092509002,0.48,1
250092516001,3.5837,5
250092532011,2.5687,2
250092601002,3.546548,9
250092601003,4.09269,33
250092602002,0.292474,28
250092603012,4.151814,4
250092607001,1.34273,19
250092608002,1.374727,2
250092610002,1.998789,14
250092611011,0.047821,5
250092611013,4.2382,2
250110407011,0.298068,28
250110407022,0.044972,10
250138001022,5.286,37
250138007002,13.736,52
250138011011,203.563866,153
250138019011,4.759,47
250138019012,11.578714999999999,13
250138020001,86.172,57
250138022001,3.058,17
250138107001,0.381132,19
250138108001,8.24371,37
250138108002,0.792977,22
250138109011,23.727471,26
250138110004,1.582494,21
250138111011,5.198763,36
250138111022,9.358185,33
250138111023,17.083,18
250138113013,36.545422,27
250138113014,0.0,3
250138116002,0.479372,13
250138117001,60.693435,65
250138119001,23.199386,132
250138119002,0.64469,30
250138121031,132.227171,95
250138121032,0.081828,18
250138132091,20.20367,16
250138132092,0.204,7
250158214003,0.45,1
250158223001,5e-05,1
250173102003,505.002,44
250173104002,98.13,36
250173105001,11.7,16
250173107002,13.07,9
250173124001,56.79,17
250173125011,125.02199999999999,40
250173165001,6.54,1
250173398022,18.63,9
250173541002,0.0,1
250173542002,0.08,3
250173550002,0.27,2
250173561003,2.432,14
250173567011,1.209,3
250235001011,717.88,13
250235021022,1.0,1
250250404012,128.42,8
250250406001,52.06,24
250250408013,0.6515,3
250250501012,0.279,4
250250503001,0.34855,13
250250512001,3.0959999999999996,14
250250704021,10.9923,12
250251605022,0.288,6
250259812021,0.112,3
250259815011,13.91,3
250259901010,0.13,1
250277096001,16.1307,4
250277101002,0.006,1
250277101003,2.084268,10
250277102004,0.012,4
250277107002,1.677065,39
250277108003,1.467023,40
250277325001,67.352915,18
