Id,Town,Program,FacilityId,FacilityName,InspectionType,InspectionDate
795486,WATERTOWN,REGULATED ACTIVITY(S),130767,MICROSEMI INCORPORATED,ReInspection,1996-02-12T00:00:00
920425,AUBURN,REGULATED ACTIVITY(S),269280,FLAGG PALMER PRECAST INC,Unannounced Multimedia Inspection,1996-01-04T00:00:00
920794,PRINCETON,REGULATED ACTIVITY(S),157601,PRINCETON TOWN OF MUNICIPAL LI,ReInspection,1996-01-05T00:00:00
920796,WEST BOYLSTON,REGULATED ACTIVITY(S),157585,WEST BOYLSTON TOWN OF MUNI LIG,ReInspection,1996-01-05T00:00:00
931821,ACTON,WATER SUPPLY/DRINKING WATER,5941,SOMERSET HILLS CONDOMINIUMS,COMPREHENSIVE COMPLIANCE EVALUATION,1996-01-11T00:00:00
931879,MEDFORD,REGULATED ACTIVITY(S),170473,HARVARD STREET GARAGE INC,ReInspection,1996-01-11T00:00:00
931981,STURBRIDGE,REGULATED ACTIVITY(S),342593,PHOTONIS SCIENTIFIC INC,Unannounced Multimedia Inspection,1996-01-10T00:00:00
932000,FRANKLIN,REGULATED ACTIVITY(S),132679,GEORGIA PACIFIC CORRUGATED I LLC,Unannounced Multimedia Inspection,1996-01-10T00:00:00
932378,BRIDGEWATER,REGULATED ACTIVITY(S),162928,INSULATION TECH,ReInspection,1996-01-02T00:00:00
932418,SHREWSBURY,REGULATED ACTIVITY(S),130479,QUANTUM CORP INC,Unannounced Multimedia Inspection,1996-01-09T00:00:00
932631,SPRINGFIELD,REGULATED ACTIVITY(S),133399,TECHNICARBON CO L P,Unannounced Multimedia Inspection,1996-01-16T00:00:00
932637,WALTHAM,REGULATED ACTIVITY(S),154668,LONGVIEW FIBRE COMPANY,Unannounced Multimedia Inspection,1996-01-11T00:00:00
932668,FITCHBURG,REGULATED ACTIVITY(S),270359,PRECISION OPTICAL CORP,Unannounced Multimedia Inspection,1996-01-12T00:00:00
932689,FALL RIVER,REGULATED ACTIVITY(S),130810,LITTLE COMPTON HOLDINGS LLC,Unannounced Multimedia Inspection,1996-01-17T00:00:00
932897,ACTON,WATER SUPPLY/DRINKING WATER,5947,STRAWBERRY HILL APARTMENTS,COMPREHENSIVE COMPLIANCE EVALUATION,1996-01-18T00:00:00
933031,MONTAGUE,REGULATED ACTIVITY(S),131075,MILTON HILTON LLC,Unannounced Multimedia Inspection,1996-01-18T00:00:00
933164,FRAMINGHAM,REGULATED ACTIVITY(S),158180,MA ARMY NATIONAL GUARD,Unannounced Multimedia Inspection,1996-01-16T00:00:00
933212,AUBURN,REGULATED ACTIVITY(S),270780,CRUCIBLE SERVICE CENTERS,Unannounced Multimedia Inspection,1996-01-18T00:00:00
933311,CAMBRIDGE,REGULATED ACTIVITY(S),162404,HARVARD UNIVERSITY RADCLIFFE,Unannounced Multimedia Inspection,1996-01-18T00:00:00
933327,MARLBOROUGH,REGULATED ACTIVITY(S),133136,SAFETY KLEEN SYSTEMS INC,Unannounced Multimedia Inspection,1996-01-19T00:00:00
933955,EVERETT,REGULATED ACTIVITY(S),154650,LEAVITT CORP THE,Unannounced Multimedia Inspection,1996-01-11T00:00:00
934027,WORCESTER,REGULATED ACTIVITY(S),133641,SLIDEWAYS INC,Unannounced Multimedia Inspection,1996-01-23T00:00:00
934140,FITCHBURG,REGULATED ACTIVITY(S),228511,FOAMTECH CORPORATION,ReInspection,1996-01-16T00:00:00
934173,NAHANT,WATER SUPPLY/DRINKING WATER,6140,NAHANT WATER DEPT. (MWRA),SANITARY SURVEY,1996-01-25T00:00:00
942141,SALEM,REGULATED ACTIVITY(S),132776,NORTH SHORE MEDICAL CENTER,Unannounced Multimedia Inspection,1996-01-24T00:00:00
942170,FITCHBURG,REGULATED ACTIVITY(S),130835,SIMONDS SAW,Unannounced Multimedia Inspection,1996-01-26T00:00:00
942175,AUBURN,REGULATED ACTIVITY(S),271255,WJ DIPIETRO INC,Unannounced Multimedia Inspection,1996-01-29T00:00:00
942178,SOUTHBRIDGE,REGULATED ACTIVITY(S),130856,DEXTER RUSSELL INC,Unannounced Multimedia Inspection,1996-01-19T00:00:00
942183,AUBURN,REGULATED ACTIVITY(S),271199,ACURA OF AUBURN,Unannounced Multimedia Inspection,1996-01-26T00:00:00
942233,WILBRAHAM,REGULATED ACTIVITY(S),285965,WILBRAHAM GRASSY HOLLOW LANDFILL,Unannounced Single-Media Inspection,1996-01-28T00:00:00
942324,DOVER,REGULATED ACTIVITY(S),155244,DOVER GARAGE,Unannounced Multimedia Inspection,1996-01-26T00:00:00
942374,HOLDEN,REGULATED ACTIVITY(S),131855,RISDON CORP SPECIALTY MOLDING,ReInspection,1996-01-26T00:00:00
942376,WESTBOROUGH,REGULATED ACTIVITY(S),130627,ATLANTIC-WESTBORO REALTY LLC,ReInspection,1996-01-26T00:00:00
942379,HOLDEN,REGULATED ACTIVITY(S),131856,SUNNYSIDE MOTOR CO INC,ReInspection,1996-01-25T00:00:00
942381,HOLDEN,REGULATED ACTIVITY(S),159271,SUNNYSIDE MOTOR CO INC,ReInspection,1996-01-25T00:00:00
942384,HOLDEN,REGULATED ACTIVITY(S),204904,INNER TITE CORP,ReInspection,1996-01-25T00:00:00
942387,AYER,REGULATED ACTIVITY(S),130198,ECKEL NOISE CONTROL TECHNOLOGIES,ReInspection,1996-01-25T00:00:00
942391,PEPPERELL,REGULATED ACTIVITY(S),130707,BEMIS COMPANY,ReInspection,1996-01-24T00:00:00
942393,STURBRIDGE,REGULATED ACTIVITY(S),342593,PHOTONIS SCIENTIFIC INC,ReInspection,1996-01-29T00:00:00
942396,NORTHBOROUGH,REGULATED ACTIVITY(S),131625,TRADEBE TREATMENT AND RECYCLING,Unannounced Multimedia Inspection,1996-01-16T00:00:00
942436,MILLIS,WATER SUPPLY/DRINKING WATER,6138,MILLIS WATER DEPT,SANITARY SURVEY,1996-01-16T00:00:00
942595,GLOUCESTER,REGULATED ACTIVITY(S),245320,ALLIED COLD STORAGE,Unannounced Multimedia Inspection,1996-01-18T00:00:00
942597,AUBURN,REGULATED ACTIVITY(S),149894,JAX WAX,Unannounced Multimedia Inspection,1996-01-31T00:00:00
942601,BEDFORD,REGULATED ACTIVITY(S),176967,ALLEGIANCE HEALTHCARE CORPORATION,Unannounced Multimedia Inspection,1996-01-23T00:00:00
942721,FRANKLIN,REGULATED ACTIVITY(S),211134,STURDY LANTERN MFG CO INC,Unannounced Multimedia Inspection,1996-01-18T00:00:00
942727,NORTH ATTLEBOROUGH,REGULATED ACTIVITY(S),131644,VH BLACKINTON & CO INC,Unannounced Multimedia Inspection,1996-01-24T00:00:00
942733,NORTH ATTLEBOROUGH,REGULATED ACTIVITY(S),215380,COMMEMORATIVE BRANDS INC,Unannounced Multimedia Inspection,1996-01-30T00:00:00
942738,FALL RIVER,REGULATED ACTIVITY(S),130800,QUEQUECHAN DEVELOPMENT LLC,ReInspection,1996-01-29T00:00:00
942751,FALL RIVER,REGULATED ACTIVITY(S),266049,DRISCOLL ARENA,Unannounced Multimedia Inspection,1996-01-04T00:00:00
942767,NEW BEDFORD,REGULATED ACTIVITY(S),266048,HETLAND ARENA,Unannounced Multimedia Inspection,1996-01-04T00:00:00
942769,BROCKTON,REGULATED ACTIVITY(S),266075,ASIAF ARENA,Unannounced Multimedia Inspection,1996-01-04T00:00:00
942927,STURBRIDGE,REGULATED ACTIVITY(S),271203,MA STATE POLICE,Unannounced Multimedia Inspection,1996-01-30T00:00:00
